source_id,jsd,jaccard,dom_eq,dom_A,dom_Ap,tci1,tci2,h1,h2,hn1,hn2
S102059668,0.047737550578365096,0.3333333333333333,True,3312,3312,0.25272235883463945,0.24013964961470236,2.0088572001225917,2.0725689232079754,0.6321029495912138,0.621981309034061
S102320310,0.07890242430419933,0.5,True,3311,3311,0.12663276557623235,0.11804726773638773,2.3984163293550718,2.4791337138909544,0.7759247456304817,0.7800792076638705
S103448410,0.0850094258979559,1.0,False,3312,3320,0.22635994,0.27311657999999994,1.786361959651823,1.5708102090901144,0.775807141758666,0.6821942059251298
S105091050,0.10530403312849516,0.5,True,3312,3312,0.24000000000000007,0.36738368306277586,1.6094379124341,1.3516849383560077,0.898244401703927,0.7543897278457555
S105812952,0.11135164482067274,1.0,True,3312,3312,0.42835855999999994,0.34718343273956687,1.37482786403145,1.4042234488186505,0.5209541485147966,0.565101086971799
S10591207,0.11681212584942874,0.5,True,3312,3312,0.2785461703899971,0.23977623999999997,2.0924610092328018,2.30062639464599,0.5885390046329877,0.615524278387831
S10599296,0.017245256318633204,1.0,True,3106,3106,0.6305562600000002,0.6491751239834017,0.8150833041582846,0.8793288347329697,0.3280136516306652,0.2986405359237244
S107313304,0.04681226994550031,1.0,True,3312,3312,0.5985121264401665,0.448331794784642,1.008747190880296,1.3605006733615603,0.38223769508916233,0.5155252438414835
S108587369,0.0638509875779457,0.5,True,3312,3312,0.3134044877635078,0.2618793315149037,1.5178742577552755,1.673078127422091,0.6908143452479734,0.7614506703954806
S108741841,0.02648403453406982,1.0,True,3312,3312,0.32718594000000006,0.2997129495927891,1.294899256475915,1.4668115028760047,0.7226970353525172,0.6370281416912645
S10875568,0.025309391352929096,1.0,True,3312,3312,0.24398441067802032,0.2212554167041051,1.8959118384085674,1.9509894909335217,0.6227288112306564,0.6138944130848532
S109658313,0.0026852382007854455,1.0,True,3312,3312,0.8906219454828771,0.8944122199999999,0.30170760204351926,0.28002914778083565,0.1683862188117829,0.1739918922111894
S110151151,0.10135459622339058,0.5,True,3312,3312,0.11397554396903835,0.12649608096677273,2.496575057552914,2.4034208735263927,0.820021894606156,0.7775437930058692
S110891900,0.20011330421737744,0.0,False,1211,3312,0.3693533169698608,0.3949406579190097,1.1917691453969617,1.250005509990679,0.6651390244419427,0.6011255834491441
S111364325,0.18024205598300347,1.0,True,3312,3312,0.30941730954494884,0.3453152520309423,1.6463839245134364,1.5125411657277872,0.6625536314025711,0.5896963077761151
S112282628,0.04264625580873854,1.0,True,3106,3106,0.5843528535857544,0.4279260709349263,0.7216566713695656,1.0225539709641356,0.4483905006799163,0.46538436785729814
S112424246,0.14711246069598244,1.0,True,3312,3312,0.3419279209965214,0.37893126,1.32252332602482,1.2677650178202513,0.6796425449894844,0.7075531284154136
S112444171,0.05582887595107467,1.0,True,3312,3312,0.52199108,0.6233185074683086,1.0942718497264465,0.9193950799007634,0.5262335236615792,0.44213557413018123
S112540174,0.030888089541480306,0.6666666666666666,True,1311,1311,0.16702824268118135,0.2100476383718493,2.4525386032323104,2.317734790175014,0.7014252250619141,0.6572597367727441
S112879492,0.08433845349031474,0.5,False,3320,3312,0.3356146837071118,0.4446718111910436,1.3600281610126486,0.9710376229439027,0.6540352944540949,0.6033395979067708
S113036218,0.025154737979873318,1.0,True,2611,2611,0.39285839775096626,0.3468726751951711,1.4401881009161666,1.504297011581374,0.4659231060872197,0.5108942729753003
S113116626,0.10814755897952123,1.0,False,3312,3318,0.29563377379842193,0.21500118808760563,1.613604590044122,1.8528498095030335,0.581984835003081,0.6410420405061252
S113184965,0.036225468379865663,0.3333333333333333,True,3312,3312,0.20169779104850774,0.19132332,2.199508190438571,2.188055313323006,0.6346439117480768,0.6313393099443696
S113281486,0.09299841181769047,0.5,True,3312,3312,0.27877998320884184,0.4604054306796749,1.8564650326236143,1.4660552487991871,0.54582690279397,0.4554556710367092
S113416816,0.06782716533410851,0.5,True,3109,3109,0.13959519633765713,0.11496111095717265,2.3469405458364934,2.567248764503282,0.7291180752313087,0.7548073447147825
S113566553,0.055644490018578,0.5,True,2610,2610,0.1636847514128699,0.16535489736697773,2.1385702405779825,2.1084285645726224,0.7713261701686432,0.8220156699932972
S114339905,0.05407445404199806,1.0,True,3312,3312,0.13859892882824507,0.16230000000000006,2.1996924019663737,2.0627391992110464,0.7763949038928174,0.7136587857862502
S114448247,0.032758477047334686,1.0,False,3312,3320,0.15909855654720162,0.16572799999999996,2.1400376168619015,2.0810503410797354,0.7718554142906252,0.7345194619549426
S114567169,0.05728806623322309,0.5,True,3312,3312,0.32759842640929765,0.25097597128472243,1.9010989783389138,2.175509273984754,0.5437136756946033,0.6024809554287704
S115207144,0.07304336623903357,1.0,True,3109,3109,0.2656702732886395,0.19239302,2.0039309002001993,2.167275461856632,0.6933125106573885,0.7360571834537321
S115516119,0.1083516357215955,0.6666666666666666,True,1110,1110,0.1403829830875507,0.16958625544241718,2.435185594072369,2.340856984742669,0.6694509730198501,0.6532285792107971
S118419795,0.09604606720609596,1.0,True,3312,3312,0.29881954023112595,0.26721795649387936,1.7994022286368525,2.033616077830848,0.5459621643283388,0.6102914967016603
S119250532,0.0283093886133277,1.0,False,1311,1312,0.09430865078707094,0.0927329624801743,3.0122520810135707,3.0347069159458315,0.7298652769652083,0.7324663850815474
S120226629,0.03182079670035321,0.6666666666666666,True,3312,3312,0.2281121901569095,0.17713384645322747,1.8325331293120999,2.0872576751770224,0.7374655822456921,0.790910319284848
S120820016,0.03957319616467791,1.0,True,3312,3312,0.46117733999999994,0.5792960634197233,1.0277480323259773,0.926088268552355,0.5281580101860928,0.3862088053043283
S120959427,0.06694924204005327,1.0,True,3316,3316,0.5235962255189339,0.8036428600000001,0.9054468390622319,0.4085795678572807,0.6531418322518346,0.3719051498619386
S12146737,0.025802201711931427,1.0,True,1311,1311,0.3777879497085985,0.30098758947222964,1.678871506959015,1.9149749331340822,0.44917600494879606,0.5156692528747852
S121703463,0.017583828195095547,1.0,True,1311,1311,0.21902038251767622,0.2121147778839427,2.3495397688503386,2.413665751383123,0.6005945684854673,0.5996161172546678
S12175909,0.07906413380847524,0.3333333333333333,True,3312,3312,0.23552744215629437,0.21738962990012373,1.9101485726946086,1.9096836483652726,0.6376232581119479,0.648573008942402
S12205661,0.02850955238805722,1.0,True,3318,3318,0.376469097576327,0.38861949225212117,1.4227350521633237,1.3871792746064882,0.513143201063732,0.47993109219147095
S122378449,0.06432044030109815,1.0,False,3312,3320,0.3873833694522759,0.24801698000000003,1.2291138844703742,1.6836791112838747,0.5337973776561544,0.7662753860713974
S122471516,0.08134713304426644,0.3333333333333333,True,3312,3312,0.16655523938232406,0.24439200000000003,2.3492361686150987,2.1238553965252263,0.7392059084027205,0.6444054978667857
S122892125,0.08432666147044726,1.0,True,3320,3320,0.27103382268772225,0.2559871992807205,1.7823928094849912,1.8805559838642016,0.6053420777596077,0.6277450092805529
S123043354,0.09714363825088795,1.0,True,3312,3312,0.18181812,0.15175905999999997,2.3365563912437652,2.3869344311003617,0.7258920562241439,0.7722101741136024
S123665906,0.12781714488390322,1.0,True,3106,3106,0.40605460000000004,0.7350190788340424,1.1243591944031213,0.5905140022280254,0.6275168144569816,0.3295721397707679
S125685628,0.0439197703458277,0.5,True,3106,3106,0.29424598,0.2623457389455163,1.7264060892649757,1.8673279828125002,0.6226693758857724,0.6233293940506884
S126647188,0.10403461816105042,1.0,True,3312,3312,0.597099215802352,0.3838643540646471,1.084123275591749,1.5573243115684567,0.41079944093135734,0.6071559686112867
S127589907,0.09441592973491042,1.0,True,3312,3312,0.6891716374357707,0.8042775111083589,0.7811982668906732,0.5585273771429118,0.3392700965830031,0.22476795142005135
S129389861,0.04484456282119915,0.3333333333333333,True,3312,3312,0.24525587637216678,0.21697107311647323,2.0310835733862884,2.047268210742475,0.6570869226268902,0.6529331804669913
S129511265,0.035641410242131286,0.6666666666666666,True,2604,2604,0.2032061491977781,0.14993174670141068,2.040413206612201,2.1674424851058394,0.6507469209307917,0.7235100760638037
