source_id,jaccard,turnover,jsd,nucleo_W0,nucleo_W1,n0,n1
S4210229695,0.5,0.5,0.033591803861839103,3106,1705|3106,1,2
S4210229905,1.0,0.0,0.04384565003457597,3312,3312,1,1
S4210230173,1.0,0.0,0.04217528269980874,3304|3312,3304|3312,2,2
S4210233660,1.0,0.0,0.035232098715184804,2202,2202,1,1
S4210233858,0.75,0.25,0.05648528168506926,3312|3314|3317|3320,3312|3317|3320,4,3
S4210235043,1.0,0.0,0.010051901863064077,1705|2206|3107|3109,1705|2206|3107|3109,4,4
S4210235286,0.6666666666666666,0.33333333333333337,0.0031159706329686853,2206|2505|3104|3107|3109,1312|2505|3104|3107|3109,5,5
S4210235510,1.0,0.0,0.058699209162925745,2202|3312|3320,2202|3312|3320,3,3
S4210236488,1.0,0.0,0.004168811656711661,2604|2608,2604|2608,2,2
S4210238233,1.0,0.0,0.05842322760463739,3308|3320,3308|3320,2,2
S4210238307,1.0,0.0,0.002389840740989765,3106,3106,1,1
S4210238526,1.0,0.0,0.01636580310798332,3312|3320,3312|3320,2,2
S4210240122,1.0,0.0,0.045773135579917,3312,3312,1,1
S4210240526,1.0,0.0,0.015985005298598042,3312|3600,3312|3600,2,2
S4210241156,1.0,0.0,0.03279947532665695,3312,3312,1,1
S42865813,1.0,0.0,0.03544842735679486,3312|3320,3312|3320,2,2
S4306502127,0.6666666666666666,0.33333333333333337,0.06936703246690257,1103|1110,1103|1110|1311,2,3
S4306508438,0.5,0.5,0.06421469603970172,2002|3312|3316,2002|3207|3312,3,3
S4306510746,1.0,0.0,0.02896008440587363,3312,3312,1,1
S43226970,1.0,0.0,0.04101212198616652,3312|3320,3312|3320,2,2
S43270013,1.0,0.0,0.05901811059972806,3312|3320,3312|3320,2,2
S4387284770,0.5,0.5,0.030856790506613066,1211|3312|3320,3304|3312|3320,3,3
S4393917777,1.0,0.0,0.06379759819197964,3312|3320,3312|3320,2,2
S4394735535,0.6666666666666666,0.33333333333333337,0.041768764833345254,1110|1311|1312,1110|1311,3,2
S44090634,1.0,0.0,0.009942833402980373,3312,3312,1,1
S44404461,0.3333333333333333,0.6666666666666667,0.051837399359831476,3306|3312,3207|3312,2,2
S44433209,1.0,0.0,0.024591662184127096,1100|3312|3320,1100|3312|3320,3,3
S44487342,0.3333333333333333,0.6666666666666667,0.036522111627557335,1211|3312,3312|3320,2,2
S44811899,0.6,0.4,0.02824162485321649,1702|2206|2604|2610,1702|1703|2604|2610,4,4
S45468527,1.0,0.0,0.006223869810582776,3103|3106,3103|3106,2,2
S45884062,1.0,0.0,0.05298554945406296,3312,3312,1,1
S46238352,0.75,0.25,0.04730212920519436,1311|3203|3205,1311|2805|3203|3205,3,4
S46285813,1.0,0.0,0.013930178830527273,3312|3317,3312|3317,2,2
S46460922,0.6666666666666666,0.33333333333333337,0.023782706521330785,3308|3312|3600,3308|3312,3,2
S46482365,0.5,0.5,0.07357591691153895,3304|3312,3312,2,1
S4671545,1.0,0.0,0.02549329351276635,2309|3312,2309|3312,2,2
S4723672,1.0,0.0,0.05536556323738285,3312|3318,3312|3318,2,2
S4789869,1.0,0.0,0.008879607181885924,3312|3318|3320,3312|3318|3320,3,3
S48492747,1.0,0.0,0.03590990806789803,3312|3320,3312|3320,2,2
S48499399,1.0,0.0,0.0708310872789116,3312|3320,3312|3320,2,2
S48783313,1.0,0.0,0.041935847636608625,3312|3315,3312|3315,2,2
S4954800,1.0,0.0,0.0076919049209727966,1311|1312,1311|1312,2,2
S50623261,1.0,0.0,0.032983309726269464,3204|3312,3204|3312,2,2
