source_id,jaccard,turnover,jsd,nucleo_W0,nucleo_W1,n0,n1
S165431477,1.0,0.0,0.03157189339945256,3312,3312,1,1
S16648056,0.5,0.5,0.0807699888702614,3205|3304|3312|3600,3205|3207|3305|3312|3600,4,5
S16719124,1.0,0.0,0.01847734284398625,2604|2610,2604|2610,2,2
S16770927,1.0,0.0,0.03957056243718917,3312|3320,3312|3320,2,2
S168233274,1.0,0.0,0.03358132324304059,3312|3320,3312|3320,2,2
S168777572,0.6666666666666666,0.33333333333333337,0.05496804703948521,1311|1312|2735|2737|2740,1311|1312|2705|2735|2740,5,5
S170381558,1.0,0.0,0.007540666050713133,2604|2610,2604|2610,2,2
S170643298,1.0,0.0,0.023216079059729194,3312|3314,3312|3314,2,2
S171076169,1.0,0.0,0.02823090764304177,1211|1710|2002|3304|3312|3320,1211|1710|2002|3304|3312|3320,6,6
S173252385,1.0,0.0,0.03210368665765714,3312,3312,1,1
S173864314,1.0,0.0,0.038575504543562386,3312|3320,3312|3320,2,2
S173952182,1.0,0.0,0.0037417179031874748,3106,3106,1,1
S174538591,1.0,0.0,0.007017371491716325,3312|3315,3312|3315,2,2
S175220671,1.0,0.0,0.08784957300412001,3312|3320,3312|3320,2,2
S175590358,1.0,0.0,0.02588153222891605,3312,3312,1,1
S176933442,1.0,0.0,0.010003035048758324,1311|2303,1311|2303,2,2
S17740374,0.4,0.6,0.03473963823554785,3203|3312|3318,3305|3312|3318|3320,3,4
S178410430,1.0,0.0,0.023856983095529718,3312,3312,1,1
S179765101,0.3333333333333333,0.6666666666666667,0.036602933819751035,1207|3312,3312|3320,2,2
S179905963,1.0,0.0,0.01344757770716917,2604,2604,1,1
S180716411,1.0,0.0,0.025154529707592327,3312|3320,3312|3320,2,2
S180901878,1.0,0.0,0.0055419715976732665,1311|1312,1311|1312,2,2
S180943771,0.6666666666666666,0.33333333333333337,0.04226308521363272,3312|3320,3312|3316|3320,2,3
S181098927,0.6666666666666666,0.33333333333333337,0.026414167522582355,3312|3320|3600,3312|3320,3,2
S181266130,1.0,0.0,0.017399408205195907,3312|3320,3312|3320,2,2
S18131899,0.5,0.5,0.033014816228601376,3312,3312|3320,1,2
S182554291,1.0,0.0,0.03853838734974089,1311|1312|2739|3600,1311|1312|2739|3600,4,4
S182709241,1.0,0.0,0.0194859722178521,3312|3320,3312|3320,2,2
S184365670,1.0,0.0,0.019919686016401383,1311,1311,1,1
S184577771,1.0,0.0,0.013589783358215122,2604|2610,2604|2610,2,2
S184583347,1.0,0.0,0.043576773874128324,2002|3312|3600,2002|3312|3600,3,3
S184885884,1.0,0.0,0.014570137161830275,3312|3320,3312|3320,2,2
S185232611,1.0,0.0,0.024524598002316482,2604|2610,2604|2610,2,2
S186310538,0.5,0.5,0.035854012196783275,1710|3312|3318,3306|3312|3318,3,3
S187585107,1.0,0.0,0.0016185623923423921,3106,3106,1,1
S187806540,0.75,0.25,0.007810018652567814,1705|2805|3109,1702|1705|2805|3109,3,4
S188931513,1.0,0.0,0.017794488144535037,3312|3320,3312|3320,2,2
S189157259,1.0,0.0,0.0279715922296949,3312,3312,1,1
S18992820,0.5,0.5,0.02104434346953219,1311,1311|1312,1,2
S190552063,1.0,0.0,0.023989553627795465,3312,3312,1,1
S190942573,1.0,0.0,0.03998251291398233,3312|3315,3312|3315,2,2
S191292005,1.0,0.0,0.0059621230368889664,3312,3312,1,1
S193008421,1.0,0.0,0.024237444157599014,3312|3320,3312|3320,2,2
S193055789,1.0,0.0,0.056205576693689085,3312|3320,3312|3320,2,2
S193359815,1.0,0.0,0.020869260580628816,3312|3318,3312|3318,2,2
S194005134,0.5,0.5,0.058872622686857834,3312,3312|3320,1,2
S194011547,1.0,0.0,0.012958701740936891,3312|3320,3312|3320,2,2
S19523265,0.6666666666666666,0.33333333333333337,0.016322029859562916,3312|3320,1211|3312|3320,2,3
S195279327,1.0,0.0,0.036110637273241424,3312,3312,1,1
S195570583,0.3333333333333333,0.6666666666666667,0.045518958951860686,3306|3312,3304|3312,2,2
S197264859,1.0,0.0,0.04805299514200281,1311|1312,1311|1312,2,2
S198031716,1.0,0.0,0.03312895439565568,3312,3312,1,1
S199451182,1.0,0.0,0.03157030970310022,3312|3320,3312|3320,2,2
S199718347,0.5,0.5,0.017403659461472074,3312|3320,3312,2,1
S199832308,1.0,0.0,0.028007115129448923,1311|1312,1311|1312,2,2
S201345032,0.5714285714285714,0.4285714285714286,0.10368730320477847,1203|1208|3310|3312|3320,1202|1208|3310|3312|3314|3320,5,6
S20177303,1.0,0.0,0.009531937361494287,3312,3312,1,1
S202534398,1.0,0.0,0.015239234598237693,3312|3320,3312|3320,2,2
S20255291,1.0,0.0,0.006216510783341787,2505|3106,2505|3106,2,2
S202580180,1.0,0.0,0.027010889006833495,3312|3316,3312|3316,2,2
S20330309,1.0,0.0,0.012665675249964654,3312|3320,3312|3320,2,2
S203532909,0.5,0.5,0.0357007322146714,3303|3312|3320,1100|3312|3320,3,3
S20435353,1.0,0.0,0.02332919578233035,3312|3320,3312|3320,2,2
S2047265,1.0,0.0,0.02856616433358128,3312|3320,3312|3320,2,2
S205778772,1.0,0.0,0.04379880707681695,3312|3320,3312|3320,2,2
S20589029,0.6666666666666666,0.33333333333333337,0.018431846134099428,3312|3315|3320,3312|3320,3,2
S206553565,0.625,0.375,0.14968696764212563,1102|1110|1311|1312|2746,1102|1110|1311|1312|2705|2725|2739|2746,5,8
S208089930,0.3333333333333333,0.6666666666666667,0.010311249669966858,3312|3322,3312|3600,2,2
S21763754,0.6666666666666666,0.33333333333333337,0.03875368643003441,3106|3107|3108,3106|3108,3,2
S22127372,1.0,0.0,0.051297185861520156,3312,3312,1,1
S22454499,0.5,0.5,0.00775431903072176,1105|1311|2303,1311|1312|2303,3,3
S22496335,1.0,0.0,0.01821719935292828,3312|3320,3312|3320,2,2
S22785100,1.0,0.0,0.0025743433436447704,3312,3312,1,1
S23465295,1.0,0.0,0.049306209459045514,3312,3312,1,1
S23604231,1.0,0.0,0.02779639642446361,3320,3320,1,1
S2391900,0.75,0.25,0.049531710695182224,1208|1211|3312|3316,1211|3312|3316,4,3
S24688465,1.0,0.0,0.004697064695052397,1702|2002|2207|2212|3109,1702|2002|2207|2212|3109,5,5
S2477993565,1.0,0.0,0.010044925811083452,2604|2610,2604|2610,2,2
S2483979929,1.0,0.0,0.02413259783449123,2604,2604,1,1
S2491293328,0.8,0.19999999999999996,0.0770392073733632,1102|1105|1311|1312|2303,1102|1311|1312|2303,5,4
S25059752,1.0,0.0,0.04558697734861415,2002|3311|3312,2002|3311|3312,3,3
S25369639,1.0,0.0,0.04720577683007363,3312|3320,3312|3320,2,2
S25826151,1.0,0.0,0.015293709158643934,2604,2604,1,1
S26543813,1.0,0.0,0.02271360194216864,3312|3320,3312|3320,2,2
S26762059,1.0,0.0,0.03023619022424571,3312,3312,1,1
S2736783777,0.42857142857142855,0.5714285714285714,0.053725384781930355,1202|2308|3312|3320|3322,1208|2308|3312|3314|3320,5,5
S2736878070,0.3333333333333333,0.6666666666666667,0.0261648878971129,2604|2611,2604|2739,2,2
S2737010151,1.0,0.0,0.041461771873020685,3312,3312,1,1
S2737156544,1.0,0.0,0.029946146989670623,3312|3320,3312|3320,2,2
S2737200839,1.0,0.0,0.03526109752970999,3304|3312,3304|3312,2,2
S2737246436,1.0,0.0,0.01642069607235723,3312,3312,1,1
S2737523697,0.6666666666666666,0.33333333333333337,0.039966995569030515,1306|1311|1312,1311|1312,3,2
S2737719478,1.0,0.0,0.011973634150888424,3203|3312,3203|3312,2,2
S2737730066,0.6666666666666666,0.33333333333333337,0.04607685862566121,3312|3320,3312|3316|3320,2,3
S2738228134,1.0,0.0,0.016681569138500746,3312,3312,1,1
S2738306786,1.0,0.0,0.04166756189844507,3312|3320,3312|3320,2,2
S2738497388,1.0,0.0,0.020816626207807658,3312|3320,3312|3320,2,2
S2738560774,1.0,0.0,0.038921018846607,2309|3306|3312,2309|3306|3312,3,3
S2738571386,0.8,0.19999999999999996,0.019818083735240202,1306|1311|1312|2725|2740,1306|1311|1312|2740,5,4
S2738819186,1.0,0.0,0.017866787924263564,3312|3320,3312|3320,2,2
S2739021707,1.0,0.0,0.023359759157877046,3312|3320,3312|3320,2,2
S2739337238,1.0,0.0,0.020925166719153628,2604,2604,1,1
S2739376119,1.0,0.0,0.01961175296844492,2604|2608,2604|2608,2,2
S2764354353,0.6,0.4,0.06689499484840772,1311|1312|2720|2735|2739,1311|1312|2720,5,3
S2764360065,1.0,0.0,0.055364161142184926,3312,3312,1,1
S2764362400,1.0,0.0,0.0555723636536543,3312|3320,3312|3320,2,2
S2764373787,1.0,0.0,0.006536958403337298,1311|1312|2737,1311|1312|2737,3,3
S2764408298,1.0,0.0,0.02359452197842662,3312|3320,3312|3320,2,2
S2764409345,1.0,0.0,0.06505632256000762,3312|3320,3312|3320,2,2
S2764466915,0.5,0.5,0.031034671593539776,1213|3203|3304|3306|3311|3312|3320,3203|3304|3312|3320|3600,7,5
S2764486912,0.75,0.25,0.03419000373569654,3312|3320|3600,3304|3312|3320|3600,3,4
S2764488531,1.0,0.0,0.018976796547854228,3312,3312,1,1
S2764525015,1.0,0.0,0.02708538685128855,3312,3312,1,1
S2764538883,1.0,0.0,0.011501608112885472,2604,2604,1,1
S2764545783,1.0,0.0,0.03775460471687538,3312,3312,1,1
S2764567269,1.0,0.0,0.009485084471844958,3306|3312,3306|3312,2,2
S2764579910,0.3333333333333333,0.6666666666666667,0.02870518661310311,1202|3312,3312|3320,2,2
S2764592690,0.6666666666666666,0.33333333333333337,0.04152800423565697,1311|1312|2804,1311|1312,3,2
S2764600129,0.3333333333333333,0.6666666666666667,0.053621940380286254,3312|3320,3306|3312,2,2
S2764699336,1.0,0.0,0.05716152708079675,2002|3312|3320,2002|3312|3320,3,3
S2764722375,1.0,0.0,0.03643524677527356,3304|3312|3317,3304|3312|3317,3,3
S2764769492,1.0,0.0,0.025070338882747532,3207|3312,3207|3312,2,2
S2764779358,1.0,0.0,0.04579833558847625,3312|3320,3312|3320,2,2
S2764799895,0.5,0.5,0.35029362568688616,3312,1211|3312,1,2
S2764804910,0.3333333333333333,0.6666666666666667,0.014554276464346153,3312|3318,3203|3312,2,2
S2764848433,0.6666666666666666,0.33333333333333337,0.06717085500570164,3312|3315,3312|3315|3317,2,3
S2764866499,1.0,0.0,0.09505771749859551,3312|3320,3312|3320,2,2
S2764876117,1.0,0.0,0.030635129036012076,3312|3318,3312|3318,2,2
S2764890657,1.0,0.0,0.050562584178013965,3312|3314|3320,3312|3314|3320,3,3
S2764914602,1.0,0.0,0.09202426488126629,3312,3312,1,1
S2764947195,1.0,0.0,0.06151478069566185,3312|3320,3312|3320,2,2
S2764963587,1.0,0.0,0.05274436694325593,3304|3312,3304|3312,2,2
S2765002437,0.5,0.5,0.059402195683737904,2002|2306|3312,1110|2306|3312,3,3
S2765008847,0.6666666666666666,0.33333333333333337,0.09872245720620575,2000|2002|2739|3312|3320|3322,2002|3312|3320|3322,6,4
S2765022498,1.0,0.0,0.019793020509486624,3203|3312,3203|3312,2,2
S2765035044,1.0,0.0,0.01879988648273201,3312|3320,3312|3320,2,2
S2765079493,0.6666666666666666,0.33333333333333337,0.06923640217635463,2215|3312|3316|3320|3322,2215|3308|3312|3316|3320,5,5
S2893729,0.3333333333333333,0.6666666666666667,0.016172382310099452,1703|2604,2604|2610,2,2
S2898370247,1.0,0.0,0.003100400120406438,3106,3106,1,1
S2898412997,0.6666666666666666,0.33333333333333337,0.029313329414142057,2611|3109,2212|2611|3109,2,3
S2898435970,0.6666666666666666,0.33333333333333337,0.006674397227602248,2604|2610,1703|2604|2610,2,3
S2912271296,0.6666666666666666,0.33333333333333337,0.08188857567689367,1703|2604|2608,1703|2604,3,2
S30572693,1.0,0.0,0.03915811965784951,3312|3314|3320,3312|3314|3320,3,3
S30803906,1.0,0.0,0.047410369691035875,3312,3312,1,1
S30933843,1.0,0.0,0.05784647602129437,3312|3320,3312|3320,2,2
S31156748,1.0,0.0,0.018914320283325087,1311|1312,1311|1312,2,2
S31204768,0.6666666666666666,0.33333333333333337,0.0428872861863806,3312|3320,3308|3312|3320,2,3
S32869912,1.0,0.0,0.032165328726216164,3312|3320,3312|3320,2,2
S33125897,1.0,0.0,0.035507160335106036,3312,3312,1,1
S34091647,0.5,0.5,0.03967504627964046,3312|3318|3600,3207|3312|3318,3,3
S35093870,0.3333333333333333,0.6666666666666667,0.014957375905241713,2604|2613,2604|2612,2,2
S37268045,1.0,0.0,0.0175554438003844,2604,2604,1,1
S37308595,1.0,0.0,0.008000143945123848,3106,3106,1,1
S38600022,1.0,0.0,0.028712951600495872,3312|3320,3312|3320,2,2
S38696330,1.0,0.0,0.03893289860238609,3312|3320,3312|3320,2,2
S38863834,1.0,0.0,0.022896695446934207,3312,3312,1,1
S39159251,1.0,0.0,0.022419698559513156,1208|1211|3312|3316|3322,1208|1211|3312|3316|3322,5,5
S39250910,1.0,0.0,0.02169764490763351,3312|3318,3312|3318,2,2
S39330975,1.0,0.0,0.049696419595554056,3312|3320,3312|3320,2,2
S39427579,0.75,0.25,0.04778690043197802,1208|3312|3316|3320,1208|3312|3320,4,3
S40135354,1.0,0.0,0.021283482240873154,3203|3312,3203|3312,2,2
S402139,1.0,0.0,0.01790503032194979,2002|3312,2002|3312,2,2
S40975480,1.0,0.0,0.031603106407296216,3312|3320,3312|3320,2,2
S4138479,0.5,0.5,0.06103608878132124,3203|3312|3600,3203|3312|3318,3,3
S41645954,1.0,0.0,0.05624217478337265,1311|1312|2738,1311|1312|2738,3,3
S41683674,1.0,0.0,0.07227038541955655,3316,3316,1,1
S41746314,1.0,0.0,0.032134790079390664,3312,3312,1,1
S4210167948,0.5,0.5,0.04661797325152903,3304|3312|3317,3304|3312|3320,3,3
S4210168251,1.0,0.0,0.04766878882814267,3312|3320,3312|3320,2,2
S4210168416,1.0,0.0,0.002147207638784336,3312|3320,3312|3320,2,2
S4210168911,1.0,0.0,0.018489932978030976,1211|3312|3320,1211|3312|3320,3,3
S4210169264,1.0,0.0,0.09513864181090487,3312|3320,3312|3320,2,2
S4210169680,1.0,0.0,0.02384819520622427,3312|3320,3312|3320,2,2
S4210169681,1.0,0.0,0.03379959846251995,3304|3312,3304|3312,2,2
S4210170263,1.0,0.0,0.026506567769889543,3312|3320|3600,3312|3320|3600,3,3
S4210171126,0.8,0.19999999999999996,0.1556920295853348,1202|1212|2002|3320,1202|1212|2000|2002|3320,4,5
S4210171491,0.75,0.25,0.041118119661672524,2202|2306|2505|3106,2306|2505|3106,4,3
S4210171603,1.0,0.0,0.06541400613313911,1311|1312,1311|1312,2,2
S4210171745,1.0,0.0,0.03686309598973517,3312|3318,3312|3318,2,2
S4210172117,0.3333333333333333,0.6666666666666667,0.03380642123269817,1211|3312,3312|3316,2,2
