source_id,config,subfield_id,d,p_doc
S102320310,W+1_2022_2025,1803,2,0.0147
S102320310,W+1_2022_2025,1804,1,0.0074
S102320310,W+1_2022_2025,2002,1,0.0074
S102320310,W+1_2022_2025,2718,8,0.0588
S102320310,W+1_2022_2025,2739,2,0.0147
S102320310,W+1_2022_2025,2805,2,0.0147
S102320310,W+1_2022_2025,3207,1,0.0074
S102320310,W+1_2022_2025,3304,3,0.0221
S102320310,W+1_2022_2025,3306,1,0.0074
S102320310,W+1_2022_2025,3308,1,0.0074
S102320310,W+1_2022_2025,3309,1,0.0074
S102320310,W+1_2022_2025,3311,21,0.1544
S102320310,W+1_2022_2025,3312,30,0.2206
S102320310,W+1_2022_2025,3315,9,0.0662
S102320310,W+1_2022_2025,3316,1,0.0074
S102320310,W+1_2022_2025,3317,2,0.0147
S102320310,W+1_2022_2025,3318,2,0.0147
S102320310,W+1_2022_2025,3320,4,0.0294
S102320310,W+1_2022_2025,3616,1,0.0074
S103448410,W0_2021_2024,1106,1,0.0102
S103448410,W0_2021_2024,1202,1,0.0102
S103448410,W0_2021_2024,1209,1,0.0102
S103448410,W0_2021_2024,3203,2,0.0204
S103448410,W0_2021_2024,3207,1,0.0102
S103448410,W0_2021_2024,3300,1,0.0102
S103448410,W0_2021_2024,3304,7,0.0714
S103448410,W0_2021_2024,3306,1,0.0102
S103448410,W0_2021_2024,3310,1,0.0102
S103448410,W0_2021_2024,3312,35,0.3571
S103448410,W0_2021_2024,3315,3,0.0306
S103448410,W0_2021_2024,3316,2,0.0204
S103448410,W0_2021_2024,3317,3,0.0306
S103448410,W0_2021_2024,3318,2,0.0204
S103448410,W0_2021_2024,3320,36,0.3673
S103448410,W0_2021_2024,3322,1,0.0102
S103448410,W+1_2022_2025,1106,1,0.01
S103448410,W+1_2022_2025,1202,2,0.02
S103448410,W+1_2022_2025,1209,1,0.01
S103448410,W+1_2022_2025,1211,1,0.01
S103448410,W+1_2022_2025,3203,1,0.01
S103448410,W+1_2022_2025,3207,2,0.02
S103448410,W+1_2022_2025,3300,1,0.01
S103448410,W+1_2022_2025,3304,7,0.07
S103448410,W+1_2022_2025,3306,1,0.01
S103448410,W+1_2022_2025,3310,2,0.02
S103448410,W+1_2022_2025,3312,34,0.34
S103448410,W+1_2022_2025,3315,1,0.01
S103448410,W+1_2022_2025,3317,3,0.03
S103448410,W+1_2022_2025,3318,2,0.02
S103448410,W+1_2022_2025,3320,40,0.4
S103448410,W+1_2022_2025,3322,1,0.01
S105091050,W0_2021_2024,1202,3,0.0588
S105091050,W0_2021_2024,1203,2,0.0392
S105091050,W0_2021_2024,1208,5,0.098
S105091050,W0_2021_2024,1210,1,0.0196
S105091050,W0_2021_2024,1211,1,0.0196
S105091050,W0_2021_2024,1911,1,0.0196
S105091050,W0_2021_2024,3306,3,0.0588
S105091050,W0_2021_2024,3312,20,0.3922
S105091050,W0_2021_2024,3316,1,0.0196
S105091050,W0_2021_2024,3318,1,0.0196
S105091050,W0_2021_2024,3320,2,0.0392
S105091050,W0_2021_2024,3322,1,0.0196
S105091050,W0_2021_2024,3600,2,0.0392
S105091050,W+1_2022_2025,1202,4,0.0851
S105091050,W+1_2022_2025,1203,1,0.0213
S105091050,W+1_2022_2025,1208,4,0.0851
S105091050,W+1_2022_2025,1210,1,0.0213
S105091050,W+1_2022_2025,1211,5,0.1064
S105091050,W+1_2022_2025,1911,1,0.0213
S105091050,W+1_2022_2025,3306,3,0.0638
S105091050,W+1_2022_2025,3312,14,0.2979
S105091050,W+1_2022_2025,3317,1,0.0213
S105091050,W+1_2022_2025,3318,1,0.0213
S105091050,W+1_2022_2025,3320,2,0.0426
S105091050,W+1_2022_2025,3600,2,0.0426
S105812952,W0_2021_2024,1202,1,0.0101
S105812952,W0_2021_2024,1210,1,0.0101
S105812952,W0_2021_2024,1211,1,0.0101
S105812952,W0_2021_2024,1311,1,0.0101
S105812952,W0_2021_2024,1402,1,0.0101
S105812952,W0_2021_2024,2002,16,0.1616
S105812952,W0_2021_2024,2003,2,0.0202
S105812952,W0_2021_2024,3205,1,0.0101
S105812952,W0_2021_2024,3304,2,0.0202
S105812952,W0_2021_2024,3306,2,0.0202
S105812952,W0_2021_2024,3311,1,0.0101
S105812952,W0_2021_2024,3312,47,0.4747
S105812952,W0_2021_2024,3314,2,0.0202
S105812952,W0_2021_2024,3316,2,0.0202
S105812952,W0_2021_2024,3317,1,0.0101
S105812952,W0_2021_2024,3318,2,0.0202
S105812952,W0_2021_2024,3320,11,0.1111
S105812952,W0_2021_2024,3322,1,0.0101
S105812952,W0_2021_2024,3600,4,0.0404
S105812952,W+1_2022_2025,1202,1,0.0147
S105812952,W+1_2022_2025,1210,1,0.0147
S105812952,W+1_2022_2025,1211,1,0.0147
S105812952,W+1_2022_2025,1402,1,0.0147
S105812952,W+1_2022_2025,1406,1,0.0147
S105812952,W+1_2022_2025,2002,10,0.1471
S105812952,W+1_2022_2025,2003,2,0.0294
S105812952,W+1_2022_2025,3205,1,0.0147
S105812952,W+1_2022_2025,3304,2,0.0294
S105812952,W+1_2022_2025,3311,1,0.0147
S105812952,W+1_2022_2025,3312,29,0.4265
S105812952,W+1_2022_2025,3314,1,0.0147
S105812952,W+1_2022_2025,3316,2,0.0294
S105812952,W+1_2022_2025,3318,1,0.0147
S105812952,W+1_2022_2025,3320,9,0.1324
S105812952,W+1_2022_2025,3322,1,0.0147
S105812952,W+1_2022_2025,3600,4,0.0588
S10591207,W0_2021_2024,1110,1,0.0035
S10591207,W0_2021_2024,1202,2,0.0069
S10591207,W0_2021_2024,1207,2,0.0069
S10591207,W0_2021_2024,1208,2,0.0069
S10591207,W0_2021_2024,1211,1,0.0035
S10591207,W0_2021_2024,1213,5,0.0173
S10591207,W0_2021_2024,1406,1,0.0035
S10591207,W0_2021_2024,1407,4,0.0138
S10591207,W0_2021_2024,1408,2,0.0069
S10591207,W0_2021_2024,1702,1,0.0035
S10591207,W0_2021_2024,1709,1,0.0035
S10591207,W0_2021_2024,1710,2,0.0069
S10591207,W0_2021_2024,2002,1,0.0035
S10591207,W0_2021_2024,2003,6,0.0208
S10591207,W0_2021_2024,2215,3,0.0104
S10591207,W0_2021_2024,2306,3,0.0104
S10591207,W0_2021_2024,2308,7,0.0242
S10591207,W0_2021_2024,2309,1,0.0035
S10591207,W0_2021_2024,2403,1,0.0035
S10591207,W0_2021_2024,2739,2,0.0069
S10591207,W0_2021_2024,2743,10,0.0346
S10591207,W0_2021_2024,3203,5,0.0173
S10591207,W0_2021_2024,3204,1,0.0035
S10591207,W0_2021_2024,3205,2,0.0069
S10591207,W0_2021_2024,3206,1,0.0035
S10591207,W0_2021_2024,3207,5,0.0173
S10591207,W0_2021_2024,3300,4,0.0138
